Год,Выпуск,Первая страница,Всего страниц,Название,Рубрика,Авторы,Художники,Дополнительно,Броская фраза,входит в сэмпл?,теги,ответы,сложность
2016,4,18,2,Перевёрнутый треугольник. Продолжение,Опыты и эксперименты,Александр Бердников,Сергей Чуб,,Решение задачи о перевёрнутом треугольнике из прошлого номера!,,биология,,
2016,4,20,0,Тридцатка от Перельмана,Улыбнись,Игорь Акулич,Николай Крутиков,,Две задачи на смекалку.,,арифметика,,
2016,4,20,1,Четыре квадрата,Улыбнись,Илья Иткин ; Иван Семушин,Николай Крутиков,,,,арифметика,,
2016,4,21,3,Как дятел Спятел планировал отпуск,Математические сказки,Константин Кохась,Инга Коржнева,,"Закружится ли голова, если все время лететь на северо-восток?",,география,,
2016,4,24,2,XXVII Математический праздник,Олимпиады,,Сергей Чуб,,Избранные задачи XXVII математического праздника.,,,,
2016,4,26,2,Конкурс по русскому языку,Олимпиады,{ 6 : М. И. Ахмеджанова } ; { 7 : Илья Иткин } ; { 8 : Л. С. Козлов } ; { 9 : Ольга Кузнецова } ; { 10 : С. И. Переверзева },Инга Коржнева,,Поздравляем победителей конкурса по русскому языку! Читайте [условия нового тура](/konkurs/rus).,,,,
2016,4,28,4,"Ответы, указания, решения",Ответы,,,,,,,,
2016,4,32,2,Наш конкурс,Олимпиады,{ 18 : Григорий Гальперин } ; { 19 : Егор Бакаев ; Алексей Заславский } ; { 20 : Николай Авилов },Николай Крутиков,,,,,,
2016,4,34,1,Задача о водяной лилии,Задачи в картинках,{ Материал подготовил : Михаил Евдокимов },Евгения Константинова,,"Об одном способе измерить глубину озера, не ныряя в воду.",,планиметрия,,
2016,3,-1,1,Обложка,,,Екатерина Ладатко,,,,,,
2016,3,2,6,Новые приключения Стаса. Часть 1,Оглянись вокруг,Иван Высоцкий ; Игорь Акулич,Анна Горлач,,"Продолжение приключений Стаса! Что выгодней, покупать билет на электричку или платить штраф?",,вероятность,,
2016,3,8,3,Гиппокамп – наш внутренний компас,Оглянись вокруг,Вера Винниченко,Елена Цветаева,,Как устроены память и ориентация в пространстве?,,биология,,
2016,3,11,1,Второй побег,Детективные истории,Игорь Акулич,Сергей Чуб,,Как вдвоём преодолеть ров с помощью двух досок?,,"планиметрия, смекалка",,
2016,3,12,3,Что такое децибел?,Как это устроено,Андрей Щетников,Максим Калякин,,О шкале громкости.,,физика,,
2016,3,15,1,Игра в кубики: разрезания,Игры и головоломки,Валерия Сирота,Артём Костюкевич,,По какой плоской фигуре можно распилить куб?,,стереометрия,,
2016,3,16,2,Секретное сообщение,Игры и головоломки,Николай Авилов,Сергей Чуб,,Расшифруйте!,,"криптография, шифры",,
2016,3,18,4,Немножко географии,Оглянись вокруг,Валерия Сирота,Инга Коржнева,,Кто живёт в противоположной вам точке Земли? Там суша или океан?,,география,,
2016,3,22,3,Подарок для Лизы,Детективные истории,Борис Дружинин,Екатерина Ладатко,,Детективная история.,,,,
2016,3,25,1,Успеть в школу,Задачи в картинках,Егор Бакаев,Tory Polska,,Какой путь короче?,,планиметрия,,
2016,3,26,3,Как дятел Спятел подводил итоги конкурсов,Математические сказки,Константин Кохась,Инга Коржнева,,Как выбрать лучшего по итогам нескольких конкурсов?,,"логика, парадоксы",,
2016,3,29,3,"Ответы, указания, решения",Ответы,,,,,,,,
2016,3,32,2,Наш конкурс,Олимпиады,{ 12 : Андрей Меньщиков } ; { 13 : Михаил Евдокимов },Николай Крутиков,Картина: Шишкин И.,,,,,
2016,3,34,1,Перевёрнутый треугольник,Задачи в картинках,{ по идее Константина Богданова : Александр Бердников },Сергей Чуб,,Задача-картинка своими руками.,,"физика, иллюзии",,
2016,2,-1,1,Обложка,,,Наталья Гаврилова,,,,,,
2016,2,2,2,Вместе с солнцем,Оглянись вокруг,Евгений Смирнов,Максим Калякин,,"Сколько раз день может сменить ночь, пока вы летите из Магадана в Москву?",,география,,
2016,2,4,3,Нейроны моей бабушки,Как это устроено,Вера Винниченко,Елена Цветаева,,Как располагаются образы наших знакомых у нас в мозгу?,,биология,,
2016,2,7,5,Одним разрезом,Математические сюрпризы,Ксения Пахомова,Артём Костюкевич,,"Какие фигуры можно вырезать из листа бумаги одним прямолинейным разрезом? Например, [треугольник](/issue/extras/треугольник.gif) и [параллелограмм](/issue/extras/параллелограмм.gif) можно.",,"комбигеом, планиметрия",,
2016,2,12,4,"Путешествие №2 по зоопарку элементов. Углерод, азот, кислород, фтор, неон",Оглянись вокруг,Борис Дружинин,Анна Горлач,,"О пяти элементах: углерод, азот, кислород, фтор и неон.",,химия,,
2016,2,16,2,Вокруг света,Четыре задачи,{ Материал подготовил : Михаил Евдокимов },Елена Цветаева,,Присылайте решения [четырёх задач](/konkurs/4problems)!,,география,,
2016,2,18,2,Заблудился акростих,Чудеса лингвистики,Ольга Кузнецова,Инга Коржнева,,"О древних акростихах и о том, как в них исправлять ошибки.",,,,
2016,2,20,3,Дробь и пузыри,Опыты и эксперименты,Андрей Щетников,Евгений Паненко,Фото: нет ссылок,О силе Архимеда в воде с всплывающими пузырями или с тонущими дробинками. [Видео](http://www.youtube.com/watch?v=vtK04CsGHhc).,,физика,,
2016,2,23,3,Как сообщить новость воображаемому гостю,Математические сказки,Константин Кохась,Инга Коржнева,,"О том, как Бусенька угадала цвет своей кепки.",,логика,,
2016,2,26,2,Симметриксы из одной олимпиадной задачи,Игры и головоломки,Николай Авилов,Николай Крутиков,,О головоломке на складывание симметричных фигур.,,комбигеом,,
2016,2,28,2,LXXXII Санкт-Петербургская олимпиада по математике. Избранные задачи I тура,Олимпиады,{ Материал подготовил : Константин Кохась },Сергей Чуб,,Избранные задачи 82-й Санкт-Петербургской математической олимпиады.,,,,
2016,2,30,2,"Ответы, указания, решения",Ответы,,,,,,,,
2016,2,32,2,Наш конкурс,Олимпиады,"{ 6 : Николай Авилов } ; { 7,10 : Григорий Гальперин } ; { 8 : Дмитрий Шноль } ; { 9 : Игорь Акулич }",Николай Крутиков,,,,,,
2016,2,34,1,Взлётно-посадочная полоса,Задачи в картинках,,Сергей Чуб,,Задача о загадочных числах на взлётно-посадочной полосе.,,смекалка,,
2016,1,-1,1,Обложка,,,Анна Горлач,,,,,,
2016,1,2,5,Телескоп Аресибо,Как это устроено,Наташа Рожковская,Анна Горлач,,Можно ли сделать телескоп из трёхсотметровой ямы?,,астрономия,,
2016,1,7,3,Вот тебе и раз!,Математические сюрпризы,Игорь Акулич,Елена Цветаева,,"О том, что сумма положительного числа и обратного к нему всегда не меньше 2.",,арифметика,,
2016,1,10,1,Велозадачи,Четыре задачи,Александр Бердников,Максим Калякин,,Чем колесо велосипеда отличается от колеса телеги?,,физика,,
2016,1,11,5,Конструкции из ДНК,Как это устроено,Фируза Мамедова ; Ксения Федосова,Артём Костюкевич,Фото: предоставлены Обсерваторией Аресибо и Национальным центром астрономии и ионосферы.,"О том, как построить робота из нуклеотидов.",,биология,,
2016,1,16,2,"Месть статуи, чемпион поневоле и нечестный судья",Две трети правды,Сергей Федин,Капыч,,Какая из трёх историй - грубая ложь?,,,,
2016,1,18,4,Как Бусенька украшала торт,Математические сказки,Константин Кохась,Инга Коржнева,,О магических квадратах на торте для дятла Спятла.,,"арифметика, комбигеом",,
2016,1,22,2,На вокзале,Детективные истории,Борис Дружинин,Максим Калякин,,Детективная история.,,,,
2016,1,24,1,Круг и прямые углы,Своими руками,Наташа Рожковская ; Максим Прасолов,Артём Костюкевич,,"С помощью угольника, двух гвоздей и карандаша можно нарисовать окружность. Вместо двух гвоздей можно взять эллипс и так же нарисовать окружность. По [картинке](/issue/extras/2016-01.definition.gif) сформулируйте определение эллипса, а по [другой картинке](/issue/extras/2016-01.ellipse.gif) сформулируйте теорему.",,планиметрия,,
2016,1,25,3,XXXVII Турнир городов,Олимпиады,,Сергей Чуб,,Избранные задачи математического турнира городов.,,,,
2016,1,28,1,Конкурс по русскому языку,Олимпиады,{ Материал подготовил : Илья Иткин } ; { 1 : Илья Иткин } ; { 2 : А. С. Панина } ; { 3 : С. И. Переверзева } ; { 4 : Е. А. Ренковская },Наталья Гаврилова,,Приглашаем участвовать в нашем [конкурсе по русскому языку](/konkurs/rus)!,,,,
2016,1,29,3,"Ответы, указания, решения",Ответы,,,,,,,,
2016,1,32,2,Наш конкурс,Олимпиады,{ 1 : Григорий Гальперин } ; { 2 : Павел Кожевников } ; { 3 : Игорь Акулич } ; { 4 : Сергей Дворянинов },Николай Крутиков,,,,,,
2016,1,34,1,Как спрятать груз?,Задачи в картинках,,Елена Цветаева,Фото: нет ссылок,Как контрабандистам на лодке спрятать товар от береговой охраны?,,смекалка,,
2015,12,-1,1,Обложка,,,Yustas-07,,,,,,
2015,12,2,2,Как разрезать бублик?,Своими руками,Елена Бунькова ; Евгений Смирнов,Евгений Паненко,,Как разрезать бублик на два зацепленных?,,топология,,
2015,12,4,4,"Путешествие №1 по зоопарку элементов. Водород, гелий, литий, бериллий, бор",Оглянись вокруг,Борис Дружинин,Анна Горлач,,О пяти химических элементах.,,химия,,
2015,12,8,2,Парабола из листа бумаги,Своими руками,Дарья Русакова,Артём Костюкевич,"Фото: автора, нет ссылок",Парабола из листа бумаги.,,"алгебра, комбигеом",,
2015,12,10,2,Равноцифры,Нам пишут,Юрий Маркелов,Инга Коржнева,Фото: нет ссылок,Несколько равноцифров нашего читателя.,,арифметика,,
2015,12,12,3,Муха и вертолёт,Как это устроено,Андрей Щетников,Максим Калякин,Фото: http://www.youtube.com/getaclassrus,"Опирается ли муха крыльями на воздух? Если да, на что опирается воздух под крыльями мухи?",,физика,,
2015,12,15,4,«Бесконечный» календарь,Своими руками,,Yustas-07,,"Флексор-календарь на 2016 год: [схема для склейки.](/issue/extras/kalendar-15-12.pdf) Соберите большой флексор по инструкции в разделе ""Кольцо из тетраэдров"" из статьи [""Флексагоны, флексоры, флексманы""](http://kvant.ras.ru/1988/07/fleksagony_fleksory_fleksmany.htm) ([ещё ссылка](http://kvant.mccme.ru/1988/07/p66.htm)) из журнала ""Квант"" №7 за 1988 год по [схеме](/issue/extras/2015-12.flexor.pdf).",,"комбигеом, календарь",,
2015,12,19,1,Случай с микроволновкой,Задачи в картинках,Александр Яворский,Tory Polska,Фото: автора,В каком месте микроволновка больше греет еду?,,физика,,
2015,12,20,2,Калейдоскоп,Смотри!,,Сергей Чуб,,Что мы видим в калейдоскопе?,,"отражения, планиметрия",,
2015,12,22,2,Как понять?,Чудеса лингвистики,Ольга Кузнецова,Елена Цветаева,,"Примеры фраз, которые получаются друг из друга сменой ударений в словах.",,логика,,
2015,12,24,1,Человек – это звучит!,Улыбнись,Игорь Акулич,Екатерина Ладатко,,"Пара шуточных задач, где важно, что речь о _человеке_.",,,,
2015,12,25,3,XXXVII Турнир имени М.В. Ломоносова,Олимпиады,,Сергей Чуб,,Избранные задачи последнего турнира Ломоносова.,,,,
2015,12,28,1,Конкурс по русскому языку,Олимпиады,{ Материал подготовил : Илья Иткин } ; { 11 : О. А. Баженова } ; { 12 : Саша Иткин } ; { 13 : Илья Иткин } ; { 14 : М. М. Руссо } ; { 15 : Л. Г. Шляхтина },Николай Крутиков,,Приглашаем участвовать в нашем [конкурсе по русскому языку](/konkurs/rus)!,,,,
2015,12,29,3,"Ответы, указания, решения",Ответы,,,,,,,,
2015,12,32,2,Наш конкурс,Олимпиады,,,,Поздравляем победителей математического конкурса! В этом номере мы публикуем их список.,,,,
2015,12,34,1,Как выйти из леса?,Задачи в картинках,,Елена Цветаева,,"Задача о кратчайшем маршруте до дороги, положение которой неизвестно.",,планиметрия,,
2015,11,-1,1,Обложка,,,Yustas-07,,,,,,
2015,11,2,3,«Ещё идут старинные часы...»,Оглянись вокруг,Игорь Акулич,Екатерина Ладатко,,"Неугомонные Даня и Федя постигают математику стрелок часов: если все числа от 0 до 59 умножить на 11, какие остатки при делении на 60 получатся?",,стрелки,,
2015,11,5,1,Змея на кубе,Улыбнись,Валерия Сирота,Елена Цветаева,,"Как перечислить все возможные способы лечь замкнутой змее на поверхности куба, и при этом не забыть и не повторить какие-то способы?",,"комбигеом, комбинаторика",,
2015,11,6,4,Двенадцать месяцев оленевода. Осень,Оглянись вокруг,Иван Кобиляков,Евгений Паненко,,Осенний эпизод из жизни ненцев-оленеводов.,,биология,,
2015,11,10,2,Нарушители среди слов,Чудеса лингвистики,Ольга Кузнецова,Ольга Демидова,,Проверка написания слова родственным иногда приводит к ошибке.,,,,
2015,11,12,4,"Качели, резонансы и космическое хулиганство",Как это устроено,Валерия Сирота,Артём Костюкевич,,О роли Юпитера в жизни греков и троянцев - обитателей астероидного пояса.,,"астрономия, физика",,
2015,11,16,2,"Пикассо, Вольф Мессинг и Раневская",Две трети правды,Сергей Федин,Капыч,,Какая из трёх историй - грубая ложь?,,,,
2015,11,18,4,Геометрия на клетчатой бумаге. Часть 3,Математический кружок,Александр Блинков,Инга Коржнева,,"Заключительная, третья статья о геометрии на тетрадных клеточках.",,планиметрия,,
2015,11,22,4,Как дятел Спятел приглашал гостей на день рождения,Математические сказки,Константин Кохась,Инга Коржнева,,"О том, как отсутствие целых положительных решений системы линейных уравнений переубедило дятла Спятла приглашать питона Уккха на день рождения.",,арифметика,,
2015,11,26,2,XXI турнир математических боёв имени А. П. Савина,Олимпиады,{ Материал подготовил : Александр Блинков },Сергей Чуб,,Избранные задачи прошедшего турнира математических боёв имени Савина.,,,,
2015,11,28,1,Русский медвежонок,Олимпиады,{ Материал подготовил : Илья Иткин },Сергей Чуб,,"Избранные задачи олимпиады ""Русский медвежонок"".",,,,
2015,11,29,3,"Ответы, указания, решения",Ответы,,,,,,,,
2015,11,32,2,Литература и математика,Четыре задачи,{ Материал подготовил : Михаил Евдокимов },Николай Крутиков,,Четыре задачи из литературы. Присылайте решения!,,"арифметика, логика, вероятность",,
2015,11,34,1,Десять логиков в кафе,Задачи в картинках,Григорий Гальперин,Елена Цветаева,,"Чувствовали лёгкое замешательство, когда вас и ещё несколько человек спрашивают ""Все будут есть?""? Тогда задача-картинка для вас.",,логика,,
2015,10,-1,1,Обложка,,,Yustas-07,,,,,,
2015,10,2,3,Школьная алгебра в древнем Вавилоне,Преданья старины,Андрей Щетников,Анна Горлач,,Решить квадратное уравнение - просто! Как в древнем Вавилоне обходились без формулы дискриминанта.,,"арифметика, планиметрия",,
2015,10,5,3,Пока все спят,Как это устроено,{ Интервью с И.Н.Пигаревым записала : Вера Винниченко },Инга Коржнева,,"Оказывается, что пока мы спим, мозг наводит порядок в организме, то есть продолжает работать! Интервью с автором новой теории сна.",,биология,,
2015,10,8,4,«Самая лучшая» геометрическая фигура,Математические сюрпризы,Наташа Рожковская ; Александр Бердников,Евгений Паненко,Фото: нет ссылок,О свойствах круга.,,"планиметрия, физика",,
2015,10,12,2,Водяные звёзды,Опыты и эксперименты,Андрей Щетников,Анна Горлач,,"Какую форму приобретает жидкость, которую закачивают под давлением в другую, более вязкую жидкость?",,физика,,
2015,10,14,2,Найти притворщика,Чудеса лингвистики,Ольга Кузнецова,Сергей Чуб,,"О похожих, но не родственных словах.",,,,
2015,10,16,2,"Бор, Александр Македонский и Александр I",Две трети правды,Сергей Федин,Капыч,,Какая из трёх историй - грубая ложь?,,,,
2015,10,18,4,Геометрия на клетчатой бумаге. Часть 2,Математический кружок,Александр Блинков,Инга Коржнева,,На клетчатой бумаге задача иногда решается сама собой: углы по 90 градусов и равные отрезки очень хорошо видны.,,планиметрия,,
2015,10,22,3,Прогулка в космосе,Детективные истории,Борис Дружинин,Ольга Демидова,,В новом детективе Квантик выиграл в конкурсе поездку в космос для Вовы.,,,,
2015,10,25,3,Озадаченный Костя,Математические сюрпризы,Александр Жуков,Максим Калякин,,Как Костя решение задачи на своей сестрёнке проверял.,,логика,,
2015,10,28,1,Волшебный кошелёк,Своими руками,,Артём Костюкевич,,"Своими руками: кошелёк, который сам хватает бумажку.",,,,
2015,10,29,3,"Ответы, указания, решения",Ответы,,,,,,,,
2015,10,32,2,Наш конкурс,Олимпиады,"{ 46, 47 : Дима Ботин } ; { 48 : Сергей Федин } ; { 49 : Александр Шаповалов }",Николай Крутиков,,,,,,
2015,10,34,1,Древнее приспособление,Задачи в картинках,,Инга Коржнева,,Для чего может пригодиться верёвка с 13 равноотстоящими узелками?,,планиметрия,,
2015,9,-1,1,Обложка,,,Yustas-07,,,,,,
2015,9,2,4,Логика логики,Математический кружок,Сергей Агаханов,Екатерина Ладатко,,Логика логики: в чём же логика?,,логика,,
2015,9,6,2,Картезианский водолаз: поколение П,Опыты и эксперименты,Алексей Панов,Артём Костюкевич,,Игрушка из пластиковой бутылки и пипетки.,,физика,,
2015,9,8,2,Индюки против рябчиков,Улыбнись,Игорь Акулич,Максим Калякин,,Диофантовы уравнения или пара задач для решения в уме.,,арифметика,,
2015,9,10,5,Геометрия на клетчатой бумаге. Часть 1,Математический кружок,Александр Блинков,Инга Коржнева,,"Что можно построить с помощью одной линейки и карандаша на клетчатой бумаге? Какие отрезки, углы, фигуры? Какие нельзя? Например, квадрат площади 5 можно, а площади 3 - нельзя.",,планиметрия,,
2015,9,15,1,Какая половина велосипеда быстрее?,Задачи в картинках,Александр Бердников,Максим Калякин,,"Невероятно, но факт: переднее колесо велосипеда обычно крутится быстрее, чем заднее! Проверьте и дайте объяснение.",,физика,,
2015,9,16,2,"Ходжа Насреддин, Паганини, Пётр I",Две трети правды,Сергей Федин,Капыч,,Какая из трёх историй - грубая ложь?,,,,
2015,9,18,3,Приключения на станции Дружинино,Детективные истории,Борис Дружинин,Юлия Исмоилова,,"Вова, Лиза и Квантик возвращаются из похода.",,,,
2015,9,21,2,Пилотируемая полоска,Своими руками,Алексей Панов,Сергей Чуб,Фото: нет ссылок,"В рубрике ""Своими руками"": как заставить бумажную полоску летать, не касаясь и не дуя на неё?",,физика,,
2015,9,23,1,Конкурс по русскому языку,Олимпиады,{ Материал подготовил : Илья Иткин } ; { 6 : Б. Л. Иомдин } ; { 7 : Илья Иткин } ; { 8 : М. С. Картышева } ; { 9 : А. А. Лопухина } ; { 10 : С. И. Переверзева },Инга Коржнева,,Второй тур конкурса по русскому языку! Приглашаем всех принять участие.,,,,
2015,9,24,4,Костромские приключения для пятиклассников,Олимпиады,{ Материал подготовили : Дмитрий Калинин ; Эмма Акопян ; Евгений Асташов },Сергей Чуб,,Избранные задачи турнира математических боёв под Костромой.,,,,
2015,9,28,4,"Ответы, указания, решения",Ответы,,,,,,,,
2015,9,32,2,Наш конкурс,Олимпиады,{ 41 : Дмитрий Шноль } ; { 44 : Игорь Акулич } ; { 45 : Лейб Штейнгарц },Николай Крутиков,,,,,,
2015,9,34,1,Небывалая луна,Задачи в картинках,Александр Бердников ; Сергей Дориченко,Tory Polska,,Задача: может ли ночью луна быть обращена вверх освещённой частью?,,"физика, астрономия",,
2015,8,-1,1,Обложка,,,Yustas-07,,,,,,
2015,8,2,4,Часовая медиана,Оглянись вокруг,Игорь Акулич,Ольга Демидова,,"Даня и Федя снова решают задачу о стрелках часов, на этот раз с помощью медианы!",,стрелки,,
2015,8,6,2,Ускоритель резиновых мячиков,Опыты и эксперименты,Алексей Колчин ; Андрей Щетников,Наталья Гаврилова,,О падении вертикальной колонны мячей.,,физика,,
2015,8,8,4,Двенадцать месяцев оленевода. Лето,Оглянись вокруг,Иван Кобиляков,Евгений Паненко,,О жизни оленеводов Таймыра летом.,,биология,,
2015,8,12,4,Спичечные графы,Смотри!,Ксения Пахомова,Елена Цветаева,,Зоопарк бирегулярных спичечных графов.,,комбинаторика,,
2015,8,16,2,"Архимед, Чаплин, Моцарт",Две трети правды,Сергей Федин,Капыч,,Какая из трёх историй - грубая ложь?,,,,
2015,8,18,5,Заусенцы с завитками,Математические сюрпризы,Александр Бердников,Инга Коржнева,,"Расцепить бесконечно сцепленные крючки возможно! Смотрите видео: [1](/issue/extras/materials_2015_08_01.html), [2](/issue/extras/materials_2015_08_02.html), [3](/issue/extras/materials_2015_08_03.html).",,комбигеом,,
2015,8,23,1,Фигурка из листка бумаги,Задачи в картинках,,Елена Цветаева,,Задачка на пространственное воображение своими руками.,,топология,,
2015,8,24,2,Волейбол от противного,Математический кружок,Игорь Акулич,Максим Калякин,,"Метод решения задач от противного: волейбольные команды, которые проигрывают все матчи.",,логика,,
2015,8,26,1,Светящаяся вода,Задачи в картинках,Александр Бердников,Артём Костюкевич,Фото: автора?,Задача о светящейся воде в стакане.,,физика,,
2015,8,27,1,Русский медвежонок,Олимпиады,{ Материал подготовил : Илья Иткин },Сергей Чуб,,"Конкурс ""Русский медвежонок"".",,,,
2015,8,28,4,"Ответы, указания, решения",Ответы,,,,,,,,
2015,8,32,2,Наш конкурс,Олимпиады,{ 37 : Павел Кожевников } ; { 38 : Алексей Толпыго ; Александр Шаповалов },Николай Крутиков,,,,,,
2015,8,34,1,Доминошка и небоскрёб,Задачи в картинках,,Tory Polska,,"Задача-картинка о колонне доминошек, которые роняют небоскрёб.",,,,
2015,7,-1,1,Обложка,,,Yustas-07,,,,,,
2015,7,2,3,Вкусовой код,Оглянись вокруг,Вера Винниченко,Евгений Паненко,,"О том, как перец и ментол обманывают наши температурные рецепторы.",,биология,,
2015,7,5,3,В огороде бузина...,Улыбнись,Игорь Акулич,Анна Горлач,,"Несколько задач, где, на первый взгляд, вопрос никак не связан с условием.",,логика,,
2015,7,8,4,Зеркаложка,Как это устроено,,Сергей Чуб,,Почему наше отражение в ложке перевёрнуто?,,физика,,
2015,7,12,4,Проекция Меркатора,Как это устроено,Андрей Щетников,Евгений Паненко,,"О карте, по которой удобно ориентироваться по компасу.",,"география, геометрия",,
2015,7,16,2,Щелкунчик,Две трети правды,Сергей Федин,Капыч,,Какая из трёх историй - грубая ложь?,,,,
2015,7,18,5,Цветные тени,Как это устроено,Александр Бердников,Инга Коржнева,Фото: нет ссылок,"Разгадка к цветным теням из прошлого номера! А также о том, что на мониторе цветов существенно меньше, чем в жизни.",,физика,,
2015,7,23,1,Кто с кем танцует,Комикс,,Дарья Котова,,Комикс о танцевальных парах.,,логика,,
2015,7,24,2,Игры в слова с переворачиванием,Чудеса лингвистики,Ольга Кузнецова,Елена Цветаева,,Забавные перестановки букв в словах.,,,,
2015,7,26,2,Трагедия предателя,Улыбнись,Игорь Акулич,Tory Polska,,Задачка об отобранном варенье и печенье.,,арифметика,,
2015,7,28,2,Две задачи турнира по физике «Шунт»,Опыты и эксперименты,Антон Сорокин ; Марина Позолотина,Артём Костюкевич,Фото:нет ссылок,"Два практических совета от физика: как высыпать соль и как сделать так, чтобы бочка с водой не лопалась от превращения воды в лёд.",,физика,,
2015,7,30,2,"Ответы, указания, решения",Ответы,,,,,,,,
2015,7,32,2,Наш конкурс,Олимпиады,"{ 31 : Григорий Гальперин } ; { 33, 34 : Павел Кожевников }",Николай Крутиков,,,,,,
2015,7,34,1,Две ракеты,Задачи в картинках,Игорь Акулич,Максим Калякин,,"Задача-картинка о двух ракетах, летящих с постоянными скоростями.",,арифметика,,
2015,6,-1,1,Обложка,,,Yustas-07,,,,,,
2015,6,2,3,Чудак-часовщик,Оглянись вокруг,Игорь Акулич,Евгений Паненко,,Новые задачи про стрелки часов!,,стрелки,,
2015,6,5,1,Цветные тени,Задачи в картинках,Александр Бердников,Инга Коржнева,,Как по цвету теней определить цвет прожекторов?,,физика,,
2015,6,6,2,"Быстрее, выше, сильнее!",Четыре задачи,{ Материал подготовил : Михаил Евдокимов },Анна Горлач,,"Четыре задачи про спорт. Задача про фигурное катание - изобретательская, попробуйте придумать решение лучше авторского!",,задачи,,
2015,6,8,4,Угол в квадрате,Наглядная математика,Александр Блинков ; Сергей Дориченко ; Максим Прасолов,Артём Костюкевич,,Доказываем теоремы с помощью перегибания листа бумаги.,,планиметрия,,
2015,6,12,4,Игрушечное судно на воздушной подушке,Опыты и эксперименты,Андрей Щетников,Анна Горлач,,"Вы знали, что судно на воздушной подушке может скользить по потолку, не падая?",,физика,,
2015,6,16,2,"Бетховен, Дуров и Дирихле",Две трети правды,Сергей Федин,Капыч,,Какая из трёх историй - грубая ложь?,,,,
2015,6,18,2,Пять звёздочек,Математические сюрпризы,Игорь Акулич,Инга Коржнева,,"Рисуем пять звёздочек, не отрывая карандаша от бумаги, на скорость!",,смекалка,,
2015,6,20,4,Блез Паскаль (окончание),Великие умы,Борис Дружинин,,"Фото,картины: нет ссылок",Окончание рассказа о Блезе Паскале.,,,,
2015,6,24,3,О числе 2015,Математические сюрпризы,Ксения Пахомова,Елена Цветаева,,Несколько арифметических головоломок о числе 2015.,,арифметика,,
2015,6,27,1,Конкурс по русскому языку,Олимпиады,{ Материал подготовил : Илья Иткин } ; { 1 : Игорь Акулич } ; { 2 : Илья Иткин } ; { 3 : С. И. Переверзева } ; { 4 : Л. М. Полянская } ; { 5 : Я. Г. Тестелец },Инга Коржнева,,Мы начинаем конкурс по русскому языку! Ждём ваших решений.,,,,
2015,6,28,1,XXXVI Турнир городов. Избранные задачи,Олимпиады,,Сергей Чуб,,Избранные задачи турнира городов.,,,,
2015,6,29,3,"Ответы, указания, решения",Ответы,,,,,,,,
2015,6,32,2,Наш конкурс,Олимпиады,{ 27 : Григорий Гальперин } ; { 30 : Павел Кожевников },Николай Крутиков,,,,,,
2015,6,34,1,Машины на тротуаре,Задачи в картинках,Григорий Фельдман,Максим Калякин,,Задача-картинка о припаркованных машинах.,,,,
2015,5,-1,1,Обложка,,,Yustas-07,,,,,,
2015,5,2,4,Новые приключения продолжаются,Оглянись вокруг,Игорь Акулич,Евгений Паненко,,Федя и Даня решают новые задачи про стрелки часов!,,стрелки,,
2015,5,6,2,Почему дельфины никогда не спят,Оглянись вокруг,Вера Винниченко,Артём Костюкевич,,Как дельфинам удаётся не спать?,,биология,,
2015,5,8,1,"Про толстяка, обогнавшего худого чемпиона по бегу",Улыбнись,Григорий Гальперин,Tory Polska,,Как толстяку удалось добежать быстрее худого чемпиона по бегу?,,смекалка,,
2015,5,9,1,Световая окружность,Опыты и эксперименты,Андрей Щетников,Евгений Паненко,,Опыт с лазером и иглой: световая окружность.,,"физика, стереометрия",,
2015,5,10,5,Двенадцать месяцев оленевода. Весна,Оглянись вокруг,Иван Кобиляков,Анна Горлач,,Про весну оленеводов Таймыра.,,биология,,
2015,5,15,1,Слова из квадратиков,Игры и головоломки,Лейб Штейнгарц ; Игорь Акулич,Инга Коржнева,,Головоломка про слова из спичек.,,смекалка,,
2015,5,16,2,"Диккенс, Ванга, Шаляпин",Две трети правды,Сергей Федин,Капыч,,Какая из трёх историй - ложь?,,,,
2015,5,18,2,"Море, море, мир бездонный...",Чудеса лингвистики,Вероника Юрченко,Елена Цветаева,,"Про родственников слова ""море"".",,,,
2015,5,20,4,Блез Паскаль,Великие умы,Борис Дружинин,,"Картины: нет ссылок; фото: David Monniaux, викимедиа","Блез Паскаль в рубрике ""Великие умы"".",,,,
2015,5,24,2,Шахматы с множественным перемещением,Игры и головоломки,Сергей Лысенков,Инга Коржнева,,"О шахматах, в которых можно делать несколько ходов подряд.",,игры,,
2015,5,26,3,Избранные задачи конкурса «Кенгуру»,Олимпиады,{ Материал подготовил : Дмитрий Максимов },Сергей Чуб,,"Избранные задачи конкурса ""Кенгуру"".",,,,
2015,5,29,3,"Ответы, указания, решения",Ответы,,,,,,,,
2015,5,32,2,Наш конкурс,Олимпиады,{ 21 : Игорь Акулич } ; { 22 : Григорий Гальперин } ; { 23 : Егор Бакаев },Николай Крутиков,,,,,,
2015,5,34,1,Неземная красота,Задачи в картинках,Александр Бердников,Максим Калякин,,"Какой космический снимок сделан с орбиты Земли, а какой вдали от неё? Задача-картинка.",,астрономия,,
2015,4,-1,1,Обложка,,,Yustas-07,,,,,,
